Assay Factor	genotype	Tissue	enriched	overlap	-log10 p-value	log2_enrichment
Brahma	wt	ISC	enriched	0.0	0.0	-16.609640474436812
H1	wt	ISC	enriched	0.0	0.0	-16.609640474436812
HP1	wt	ISC	enriched	0.0	0.0	-16.609640474436812
Kismet	wt	ISC	enriched	5.0	2.534974249694275	3.9200083540960318
PolII	wt	ISC	enriched	4.0	2.2669472561769415	3.502968291872973
Polycomb	wt	ISC	enriched	0.0	0.0	-16.609640474436812
Trr	wt	ISC	enriched	3.0	2.2669472561769415	4.137668276673722
