Assay Factor	genotype	Tissue	enriched	overlap	-log10 p-value	log2_enrichment
Brahma	wt	ISC	enriched	2.0	0.9125344830743052	2.046494552552529
H1	wt	ISC	enriched	0.0	0.0	-16.609640474436812
HP1	wt	ISC	enriched	0.0	4.959161393606522	-16.609640474436812
Kismet	wt	ISC	enriched	73.0	38.9012974494324	4.0141776234278
PolII	wt	ISC	enriched	53.0	22.700934193227344	3.10114746546783
Polycomb	wt	ISC	enriched	2.0	0.4119543719157864	-1.2209168182994523
Trr	wt	ISC	enriched	28.0	13.457440125527805	2.9625508737173067
