Assay Factor	genotype	Tissue	enriched	overlap	-log10 p-value	log2_enrichment
Brahma	wt	ISC	enriched	3.0	1.420776776059408	2.0551991255927144
H1	wt	ISC	enriched	0.0	0.0	-16.609640474436812
HP1	wt	ISC	enriched	1.0	6.546330084934773	-4.293076089039869
Kismet	wt	ISC	enriched	66.0	18.565223578336845	2.295138188474272
PolII	wt	ISC	enriched	36.0	4.844360366240224	1.2921986648455228
Polycomb	wt	ISC	enriched	10.0	0.6370842010004054	0.6002792699356715
Trr	wt	ISC	enriched	17.0	3.117287668866369	1.3701698615547182
