Assay Factor	genotype	Tissue	enriched	overlap	-log10 p-value	log2_enrichment
Brahma	wt	ISC	enriched	8.0	2.553323061059494	1.7928595159785325
H1	wt	ISC	enriched	0.0	0.0	-16.609640474436812
HP1	wt	ISC	enriched	8.0	17.19101298887187	-3.0708452915703752
Kismet	wt	ISC	enriched	200.0	50.3329301423437	2.1893533333034494
PolII	wt	ISC	enriched	150.0	30.676438536537134	1.8314759864948298
Polycomb	wt	ISC	enriched	13.0	1.2265280571287949	-0.7685430143330859
Trr	wt	ISC	enriched	81.0	22.502614167462553	2.0506793025601797
