Assay Factor	genotype	Tissue	enriched	overlap	-log10 p-value	log2_enrichment
Brahma	wt	ISC	enriched	0.0	0.0	-16.609640474436812
H1	wt	ISC	enriched	0.0	0.0	-16.609640474436812
HP1	wt	ISC	enriched	0.0	0.21370297965566637	-16.609640474436812
Kismet	wt	ISC	enriched	6.0	4.211555861629153	4.18380487267784
PolII	wt	ISC	enriched	3.0	1.5107448316307395	2.5033512796009583
Polycomb	wt	ISC	enriched	1.0	0.5663741549636401	1.804057690390535
Trr	wt	ISC	enriched	3.0	2.5867673136054834	3.8756827663210145
