Assay Factor	genotype	Tissue	enriched	overlap	-log10 p-value	log2_enrichment
Brahma	wt	ISC	enriched	0.0	0.0	
H1	wt	ISC	enriched	0.0	0.0	
HP1	wt	ISC	enriched	0.0	0.0	
Kismet	wt	ISC	enriched	0.0	0.0	
PolII	wt	ISC	enriched	0.0	0.0	
Polycomb	wt	ISC	enriched	0.0	0.0	
Trr	wt	ISC	enriched	0.0	0.0	
