Assay Factor	genotype	Tissue	enriched	overlap	-log10 p-value	log2_enrichment
Brahma	wt	ISC	enriched	0.0	0.0	-16.609640474436812
H1	wt	ISC	enriched	0.0	0.0	-16.609640474436812
HP1	wt	ISC	enriched	0.0	0.14954982349952656	-16.609640474436812
Kismet	wt	ISC	enriched	10.0	4.883176490495504	3.663459620464468
PolII	wt	ISC	enriched	9.0	4.869029732916486	3.615770570999238
Polycomb	wt	ISC	enriched	0.0	0.0	-16.609640474436812
Trr	wt	ISC	enriched	3.0	1.2847517598958011	2.51954442061224
