Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
MCM2-7	wt	Kc	0.0	-16.609640474436812
ORC2	wt	Kc	0.5957161817338033	2.5379887411525512
PolII	wt	Kc	0.21919216694680246	1.7922325388616827
PolII-(phospho-S2)	wt	Kc	0.17392636464270103	1.8261632899459315
PolII-(phospho-S5)	wt	Kc	0.04574862686534853	1.3760642061686206
