Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
MCM2-7	wt	Kc	0.42558048728600545	3.715753299321007
ORC2	wt	Kc	0.11867711174575987	1.38217749683178
PolII	wt	Kc	0.7021204979946288	2.342913930179488
PolII-(phospho-S2)	wt	Kc	0.39220689224966643	1.8599586458316468
PolII-(phospho-S5)	wt	Kc	0.7604343154747321	2.422640684055287
