BD-10-head	BD-9-head	KD-8-head	KD-6-head	BD-10-tumor	BD-09-tumor	KD-8-tumor	KD-6-tumor
88	52	60	72	51	92	92	69
132	67	86	104	91	109	105	82
101	76	88	91	102	106	132	67
101	76	88	91	102	105	131	67
107	69	106	99	128	134	141	103
91	54	45	71	57	70	76	58
91	54	45	71	57	70	76	58
91	54	45	71	57	70	76	58
82	66	94	101	82	101	106	98
82	66	94	101	82	101	106	98
116	74	84	88	118	118	148	90
16	10	32	39	24	34	61	37
97	55	91	116	78	97	112	98
11	4	5	13	11	13	24	10
49	35	63	82	124	68	127	116
52	35	66	82	129	70	131	118
52	35	67	82	129	71	131	118
52	37	67	82	131	76	131	118
52	37	67	82	131	76	131	118
52	39	67	82	131	78	131	118
105	74	106	141	103	125	116	131
38	42	51	50	61	53	67	50
38	42	51	50	61	53	67	50
38	42	51	50	61	53	67	50
52	55	69	70	87	76	94	76
49	49	63	78	74	68	70	67
100	33	82	123	89	81	88	82
67	30	50	56	62	52	83	65
113	85	137	119	119	137	158	109
47	10	40	50	20	39	49	38
65	46	75	120	78	105	82	95
76	65	63	68	69	71	89	95
55	28	35	58	41	62	68	47
97	42	76	91	76	89	85	77
62	33	48	84	35	72	73	41
111	87	154	137	93	118	144	93
99	46	65	62	63	101	120	99
75	38	65	105	50	73	106	67
71	33	62	109	48	84	57	72
113	62	107	64	126	134	119	44
70	56	63	67	71	77	85	63
26	14	19	55	21	24	43	40
65	31	34	95	47	57	62	76
111	79	99	102	104	111	128	95
62	32	36	67	29	58	49	73
55	37	101	75	85	92	89	71
51	29	48	72	37	50	56	54
112	59	105	89	70	90	142	121
95	59	85	74	61	84	80	60
79	41	80	93	85	59	113	75
51	42	76	77	87	74	98	66
41	31	33	57	18	43	50	50
62	54	88	43	49	69	79	37
91	53	72	74	111	75	79	59
90	51	86	113	66	98	81	101
83	41	66	71	90	79	79	63
89	33	77	114	59	79	87	68
71	54	82	99	40	84	83	74
56	43	69	61	28	89	99	62
