Assay Factor	genotype	Tissue	enriched	overlap	-log10 p-value	log2_enrichment
1K-upstream	wt	ISC	enriched	30.0	0.1852464662510113	-0.1632517640317584
3P-UTR	wt	ISC	enriched	69.0	8.831679334481136	1.258826425677191
5P-UTR	wt	ISC	enriched	26.0	0.8880992871343859	0.449968045046453
CDS	wt	ISC	enriched	8.0	36.279691821148866	-3.9655588811711375
Intergenic	wt	ISC	enriched	73.0	14.521635548830318	-1.3291234159546974
Intronic	wt	ISC	enriched	286.0	4.730463707244033	0.567555182395255
