Assay Factor	genotype	Tissue	enriched	overlap	-log10 p-value	log2_enrichment
1K-upstream	wt	ISC	enriched	0.0	0.0	-16.609640474436812
3P-UTR	wt	ISC	enriched	0.0	0.0	-16.609640474436812
5P-UTR	wt	ISC	enriched	1.0	0.16648953373606232	2.1053461930479345
CDS	wt	ISC	enriched	0.0	0.12751740033926015	-16.609640474436812
Intergenic	wt	ISC	enriched	2.0	0.0	-0.04690614359008558
Intronic	wt	ISC	enriched	6.0	0.3546524121409593	1.9026563296959793
