Assay Factor	genotype	Tissue	enriched	overlap	-log10 p-value	log2_enrichment
1K-upstream	wt	ISC	enriched	4.0	0.2781152231817722	-0.6506120743097605
3P-UTR	wt	ISC	enriched	7.0	0.2873418818946166	0.31267678941373234
5P-UTR	wt	ISC	enriched	2.0	0.22951619056889205	-0.8996681785031377
CDS	wt	ISC	enriched	14.0	0.5330730943435115	-0.48396467558441647
Intergenic	wt	ISC	enriched	23.0	0.3815962414334871	-0.3111303568029628
Intronic	wt	ISC	enriched	38.0	0.5494122124744398	-0.3455461276949415
