Assay Factor	genotype	Tissue	enriched	overlap	-log10 p-value	log2_enrichment
1K-upstream	wt	ISC	enriched	11.0	0.63223420898509	0.7740047618996089
3P-UTR	wt	ISC	enriched	4.0	0.29927898063064406	-0.7178330428767788
5P-UTR	wt	ISC	enriched	5.0	0.2180580264893817	0.32193963640152357
CDS	wt	ISC	enriched	6.0	3.278883821959608	-2.017358645553631
Intergenic	wt	ISC	enriched	21.0	0.63223420898509	-0.5799003192335033
Intronic	wt	ISC	enriched	52.0	0.29927898063064406	0.2424622688505106
