Assay Factor	genotype	Tissue	enriched	overlap	-log10 p-value	log2_enrichment
1K-upstream	wt	ISC	enriched	11.0	0.12591264743557112	0.09357369713966135
3P-UTR	wt	ISC	enriched	23.0	3.7839661221813263	1.3684945881441242
5P-UTR	wt	ISC	enriched	4.0	0.2732239050402876	-0.6148230099457584
CDS	wt	ISC	enriched	5.0	8.986741334716484	-2.9212808743645344
Intergenic	wt	ISC	enriched	17.0	6.519964296771199	-1.6803358263151826
Intronic	wt	ISC	enriched	93.0	2.699556697993972	0.7355308421055975
