Assay Factor	genotype	Tissue	enriched	overlap	-log10 p-value	log2_enrichment
1K-upstream	wt	ISC	enriched	38.0	0.5735277780962721	-0.30398837595015626
3P-UTR	wt	ISC	enriched	77.0	5.511202595346429	0.8976354181935009
5P-UTR	wt	ISC	enriched	30.0	0.25669410362943107	0.16351161343109682
CDS	wt	ISC	enriched	26.0	35.163954529891825	-2.698904065512499
Intergenic	wt	ISC	enriched	108.0	16.76818647446074	-1.224283590826659
Intronic	wt	ISC	enriched	401.0	6.938585221722927	0.6107095100084838
