,Transposable Element,TSD length
1,opus,18
2,Tabor,20
3,gypsy12,10
4,1360,7
5,hopper,19
6,1360,27
7,ZAM,23
8,BS,24
9,Tabor,47
10,Tabor,22
11,Tabor,43
12,297,8
13,Tabor,26
14,Tabor,25
